week_ending_date,ICSA,gold_close_avg,gold_open,gold_high,gold_low,gold_volume,crypto_market_cap,crypto_total_volume
2015-09-05,273000.0,108.39,108.19,109.77,107.07,23605383.0,3966329734.11,731490482.35
2015-09-12,264000.0,106.55,107.6,107.94,105.27,25029404.0,4129554772.32,819222343.19
2015-09-19,269000.0,107.41,105.86,109.38,105.68,25751217.0,3980600015.88,645469780.18
2015-09-26,272000.0,108.97,108.49,110.82,107.44,28520856.0,3962514786.79,831306359.78
2015-10-03,267000.0,107.8,108.37,109.32,106.47,27224267.0,4005684088.63,1134880913.46
2015-10-10,265000.0,109.67,109.14,111.05,108.46,31296691.0,4078799042.24,1041170314.63
2015-10-17,264000.0,112.55,111.67,113.99,111.01,42424799.0,4248637902.47,1903078276.47
2015-10-24,264000.0,111.93,112.64,113.09,110.96,21056962.0,4468885958.83,1546376449.49
2015-10-31,275000.0,110.58,111.73,113.25,109.06,24105909.0,4992862883.28,3801378501.78
2015-11-07,276000.0,106.26,108.64,108.84,104.02,35316840.0,6114397292.76,7093931548.02
2015-11-14,272000.0,103.96,104.29,104.65,103.04,21600939.0,5592039881.3,3540108654.61
2015-11-21,261000.0,103.03,103.98,104.09,101.98,27638246.0,5373540823.52,1630614844.61
2015-11-28,265000.0,102.23,102.48,103.25,100.99,15444705.0,5527957727.9,4582959965.72
2015-12-05,280000.0,102.13,101.53,104.21,100.53,38804349.0,6022260041.19,8755801306.92
2015-12-12,268000.0,102.76,103.32,103.66,101.85,24464627.0,6870654286.86,11944043672.24
2015-12-19,260000.0,101.72,102.58,103.2,100.23,39053897.0,7437780069.15,9696989008.89
2015-12-26,276000.0,102.78,102.95,103.52,102.21,15029923.0,7199807779.46,10185506443.07
2016-01-02,273000.0,101.84,102.48,102.6,101.31,13755846.0,7040310127.96,9456513614.85
2016-01-09,284000.0,104.51,103.13,106.24,102.48,38641051.0,7266825372.21,8673927638.29
2016-01-16,290000.0,104.15,105.47,105.57,102.5,39172843.0,6972580227.19,10510493456.98
2016-01-23,269000.0,104.96,104.06,106.16,103.65,24315273.0,6537724302.69,10565947780.94
2016-01-30,282000.0,106.91,105.76,107.93,105.6,37535972.0,6614167596.61,9476685164.95
2016-02-06,266000.0,109.66,107.54,112.35,107.35,60886693.0,6451154673.58,7048115176.66
2016-02-13,262000.0,115.86,113.67,120.84,112.98,125818460.0,6730377513.34,4929184309.84
2016-02-20,270000.0,116.53,116.0,118.6,114.74,53939080.0,7371435905.72,9623208005.5
2016-02-27,269000.0,117.07,115.44,119.86,115.41,62622686.0,7684731887.92,9132002574.73
2016-03-05,255000.0,119.27,117.59,122.37,117.34,69498436.0,7803423926.27,16081847107.27
2016-03-12,263000.0,120.44,121.18,121.88,118.84,58449449.0,7945090430.85,16491529922.11
2016-03-19,264000.0,119.27,120.27,121.18,117.34,60835273.0,8053155706.79,14838489422.23
2016-03-26,271000.0,117.8,119.0,120.16,116.16,36287877.0,8037394504.12,14216027880.97
2016-04-02,273000.0,117.41,116.73,118.81,115.55,48830028.0,8114668480.56,13243339001.01
2016-04-09,263000.0,117.56,116.67,118.85,115.0,45018452.0,8061057295.75,4990573124.39
2016-04-16,257000.0,118.78,119.47,120.34,116.95,49335979.0,7930061298.99,6340518307.31
2016-04-23,259000.0,118.72,118.53,120.55,117.28,61695320.0,8246551582.75,7453205241.66
2016-04-30,278000.0,120.18,118.14,123.93,118.11,56394626.0,8448762698.04,13088611394.11
2016-05-07,289000.0,122.73,123.78,123.96,121.25,50775247.0,8536781283.99,6305437786.35
2016-05-14,279000.0,121.32,121.2,122.39,120.08,41750901.0,8618023546.1,8299602279.12
2016-05-21,267000.0,120.74,122.93,122.97,118.92,53355754.0,8757459182.23,6773331089.5
2016-05-28,263000.0,117.17,118.86,119.6,115.29,46441831.0,8980920859.27,10297017342.98
2016-06-04,265000.0,116.64,115.76,118.89,115.2,35740377.0,10522174275.99,11937374629.34
2016-06-11,273000.0,120.26,118.89,122.1,118.41,52207931.0,11264332836.36,8402672716.32
2016-06-18,261000.0,123.08,122.8,125.67,122.03,81449860.0,13740096552.76,19306618140.83
2016-06-25,262000.0,122.21,122.26,126.82,120.06,80744690.0,12673474579.69,22012861514.17
2016-07-02,255000.0,126.54,126.44,128.42,125.06,80502060.0,12502558983.13,15817912307.18
2016-07-09,252000.0,129.99,128.8,131.15,128.17,70463160.0,12482449552.57,17469569151.09
2016-07-16,260000.0,127.79,129.49,129.9,126.03,70179022.0,12664422849.54,8874853811.31
2016-07-23,264000.0,126.66,127.02,127.5,125.31,42485820.0,13040169391.74,7041060802.63
2016-07-30,266000.0,127.23,125.53,129.41,125.11,60761534.0,12814221317.99,5840694077.85
2016-08-06,265000.0,129.31,128.57,130.55,127.39,40868029.0,11435918582.7,12273170707.76
2016-08-13,264000.0,127.81,127.29,129.26,127.2,45607498.0,11763003344.05,6205146458.94
2016-08-20,264000.0,128.38,127.62,129.17,127.46,45590670.0,11495869279.16,5078691575.16
2016-08-27,261000.0,126.83,127.63,128.22,125.82,55062843.0,11534005553.48,5064109505.62
2016-09-03,257000.0,125.59,126.0,126.57,124.55,52900854.0,11565394953.6,4694100305.14
2016-09-10,252000.0,127.83,127.4,129.08,126.7,46937885.0,12286860861.54,7724152477.97
2016-09-17,250000.0,125.79,126.31,126.92,124.67,57667966.0,12141206994.88,6567508935.74
2016-09-24,247000.0,126.65,125.61,128.2,125.17,47121949.0,12193117270.09,9794044393.58
2016-10-01,245000.0,126.42,127.96,128.04,125.24,37357377.0,12261052937.38,10765557299.32
2016-10-08,250000.0,121.29,125.32,125.46,118.42,83881583.0,12340558538.64,6856303637.44
2016-10-15,263000.0,119.77,120.16,120.42,119.29,29173181.0,12528172418.44,14335504158.08
2016-10-22,256000.0,120.56,119.7,121.59,119.58,28914715.0,12654419901.16,14527116603.22
2016-10-29,265000.0,121.08,121.28,122.48,120.16,31485858.0,13175785441.04,33421457057.63
2016-11-05,250000.0,123.4,121.51,124.76,121.23,55376001.0,13608408483.33,43933033827.12
2016-11-12,232000.0,120.44,122.66,124.35,116.23,80304535.0,13667040331.27,27786447674.2
2016-11-19,246000.0,116.26,116.12,117.27,114.96,55930522.0,13917702232.11,42108398379.38
2016-11-26,255000.0,114.24,115.72,115.94,112.35,39323404.0,13967800479.26,25917154914.69
2016-12-03,248000.0,112.5,113.23,113.84,110.63,41643115.0,14000769227.69,26009842378.89
2016-12-10,252000.0,111.35,111.15,112.5,110.19,37100459.0,14236110243.87,27660966329.26
2016-12-17,260000.0,109.1,110.59,111.11,107.0,51484383.0,14560907250.38,22458230700.2
2016-12-24,257000.0,107.95,108.6,108.88,107.29,27717916.0,15588844416.33,31260236158.77
2016-12-31,244000.0,109.33,108.61,110.62,108.24,25182295.0,17404215158.65,33845681329.39
2017-01-07,245000.0,111.42,109.62,112.94,109.37,29699737.0,18571464903.19,55400697973.94
2017-01-14,240000.0,113.49,112.39,114.93,112.17,37390964.0,16154168162.83,26730326378.4
2017-01-21,250000.0,115.14,115.89,115.96,113.94,34309675.0,16686933459.83,6745675666.73
2017-01-28,241000.0,114.43,115.51,116.17,112.81,30927613.0,17309209159.49,2447633840.7
2017-02-04,230000.0,115.34,113.61,116.57,113.54,41657383.0,18566689138.11,819055547.28
2017-02-11,233000.0,117.65,117.07,118.59,116.67,44003034.0,19329982154.94,1179763440.51
2017-02-18,237000.0,117.39,116.73,118.4,116.15,35068857.0,19499517333.3,665389712.49
2017-02-25,221000.0,118.58,117.04,119.88,116.77,29516791.0,21268417127.96,1150202730.67
2017-03-04,236000.0,118.5,119.73,120.4,116.44,48215156.0,23466654549.34,1487621313.21
2017-03-11,228000.0,115.35,117.35,117.35,114.13,33616603.0,23337278384.7,1906954442.72
2017-03-18,235000.0,115.77,114.63,117.29,114.02,38617675.0,24810340466.81,3378029705.07
2017-03-25,236000.0,118.49,117.31,119.25,117.2,33907767.0,23845407482.42,2702205425.36
2017-04-01,216000.0,119.02,119.93,120.08,118.32,35952828.0,25151531502.64,2532226338.54
2017-04-08,222000.0,119.45,118.69,120.67,118.4,35820694.0,27710197600.22,2623390723.72
2017-04-15,231000.0,121.32,119.04,122.65,118.85,36435008.0,28850019602.6,1954897759.55
2017-04-22,238000.0,122.21,122.55,123.07,121.28,55199326.0,30012675082.6,2133851366.11
2017-04-29,232000.0,120.75,120.77,121.51,119.87,48528822.0,33075493229.42,3746768784.41
2017-05-06,233000.0,118.22,120.21,120.75,116.63,44567125.0,41358194488.0,7320460113.76
2017-05-13,234000.0,116.43,117.03,117.16,115.56,28121266.0,51805353666.9,8948017140.23
2017-05-20,236000.0,118.56,117.52,120.02,116.99,40396064.0,61968610759.36,8595529837.46
2017-05-27,253000.0,119.73,119.63,120.79,118.92,31367789.0,77657234484.98,17637105713.19
2017-06-03,251000.0,120.77,120.24,121.71,119.95,30785890.0,84499753693.52,12721763754.82
2017-06-10,245000.0,121.89,121.91,123.31,120.4,39030453.0,102776704042.08,14393918045.02
2017-06-17,249000.0,119.86,120.33,121.88,119.13,42943107.0,110472758098.44,19097455904.96
2017-06-24,247000.0,118.7,118.74,119.66,118.07,31177787.0,112927860767.27,15975026609.76
2017-07-01,256000.0,118.48,118.29,119.06,117.91,31546324.0,102583220564.82,14235047412.3
2017-07-08,259000.0,116.09,116.54,116.85,114.8,34940992.0,103008059541.28,9388316404.15
2017-07-15,245000.0,115.94,115.02,117.25,114.83,26147999.0,84560289122.19,12369122360.87
2017-07-22,249000.0,118.2,117.42,119.39,117.23,31234877.0,86446384878.47,16892056107.79
2017-07-29,245000.0,119.72,119.52,120.86,118.55,32145412.0,91888219404.83,11200175277.05
2017-08-05,254000.0,120.41,120.5,121.14,119.22,30137929.0,100679135916.95,11796656236.73
2017-08-12,245000.0,121.14,119.43,122.83,118.97,37204701.0,125397458156.73,17533881205.89
2017-08-19,245000.0,121.91,121.98,123.54,120.58,42848799.0,140911743450.5,25032941840.35
2017-08-26,247000.0,122.53,122.54,123.02,121.29,33660122.0,153743983648.01,29306428859.33
2017-09-02,297000.0,125.07,123.33,126.17,123.33,51001124.0,164662891745.1,28812234236.86
2017-09-09,280000.0,127.59,126.65,128.32,126.55,41074172.0,156192004892.73,30645368404.6
2017-09-16,261000.0,126.01,126.74,126.94,125.41,38895495.0,132003119111.2,32380686523.65
2017-09-23,264000.0,123.7,124.71,125.06,122.49,39828696.0,131397023294.3,18764901530.21
2017-09-30,260000.0,122.69,122.78,124.66,121.55,41950404.0,140543184284.9,16710153052.08
2017-10-07,252000.0,120.88,121.17,121.34,119.78,38156616.0,144333485422.41,12751069730.93
2017-10-14,235000.0,122.8,121.64,123.86,121.55,30018823.0,157153505751.19,24543826992.04
2017-10-21,241000.0,122.15,123.82,123.97,121.39,32943533.0,169574163541.45,24337397973.67
2017-10-28,241000.0,121.14,120.98,121.9,120.21,27501209.0,167452760519.43,21757432059.16
2017-11-04,248000.0,120.94,120.93,121.96,120.18,25332361.0,186621599548.35,36703255688.39
2017-11-11,254000.0,121.55,120.72,122.41,120.68,29850739.0,200768267046.47,52526703638.08
2017-11-18,246000.0,121.71,121.43,123.17,120.77,30828805.0,217716508880.53,69770197194.61
2017-11-25,243000.0,121.94,122.3,122.95,121.04,20224765.0,255473440632.76,53028869454.17
2017-12-02,241000.0,122.07,123.26,123.33,120.64,37641315.0,314545301363.58,89046604221.7
2017-12-09,229000.0,119.71,121.15,121.2,118.1,41751117.0,402187683553.34,121014022084.13
2017-12-16,244000.0,118.69,118.37,119.5,117.4,37147187.0,522037015077.48,149168303037.35
2017-12-23,251000.0,120.19,119.63,121.14,119.53,25813068.0,611318238087.5,178669427864.28
2017-12-30,248000.0,122.62,121.55,124.08,121.51,28035433.0,601634779344.7,149336820494.11
2018-01-06,252000.0,125.19,124.66,125.85,124.1,32639499.0,737736283917.64,227977386936.33
2018-01-13,230000.0,125.49,125.2,127.13,124.23,42764870.0,780034893891.86,247277306428.09
2018-01-20,231000.0,126.4,126.6,127.22,125.8,33261649.0,636027150373.72,196612801526.48
2018-01-27,228000.0,127.76,126.51,129.51,126.28,45840830.0,546763152662.53,165215473247.66
